Date, Close/Last, Volume, Open, High, Low
08/26/2020, $1652.38, 3581072, $1608, $1659.22, $1603.6
08/25/2020, $1608.22, 2132084, $1582.07, $1611.62, $1582.07
08/24/2020, $1588.2, 1410229, $1593.98, $1614.17, $1580.57
08/21/2020, $1580.42, 1446453, $1577.03, $1597.72, $1568.005
08/20/2020, $1581.75, 1706877, $1543.45, $1585.87, $1538.2
08/19/2020, $1547.53, 1660611, $1553.31, $1573.68, $1543.95
08/18/2020, $1558.6, 2027086, $1526.18, $1562.47, $1523.71
08/17/2020, $1517.98, 1378600, $1514.67, $1525.61, $1507.97
08/14/2020, $1507.73, 1355200, $1515.66, $1521.9, $1502.88
08/13/2020, $1518.45, 1455208, $1510.34, $1537.25, $1508.005
08/12/2020, $1506.62, 1437655, $1485.58, $1512.3859, $1485.25
08/11/2020, $1480.32, 1454365, $1492.44, $1510, $1478
08/10/2020, $1496.1, 1289530, $1487.18, $1504.075, $1473.08
08/07/2020, $1494.49, 1577826, $1500, $1516.845, $1481.64
08/06/2020, $1500.1, 1995368, $1471.75, $1502.39, $1466
08/05/2020, $1473.61, 1979957, $1469.3, $1482.41, $1463.46
08/04/2020, $1464.97, 1903489, $1476.57, $1485.56, $1458.65
08/03/2020, $1474.45, 2331514, $1486.64, $1490.47, $1465.64
07/31/2020, $1482.96, 3429036, $1505.01, $1508.95, $1454.03
07/30/2020, $1531.45, 1671396, $1497, $1537.87, $1492.22
07/29/2020, $1522.02, 1106534, $1506.32, $1531.2522, $1501.33
07/28/2020, $1500.34, 1702174, $1525.18, $1526.48, $1497.66
07/27/2020, $1530.2, 1245980, $1515.6, $1540.97, $1515.21
07/24/2020, $1511.87, 1544404, $1498.93, $1517.6362, $1488.4
07/23/2020, $1515.68, 1627634, $1566.97, $1571.87, $1507.3918
07/22/2020, $1568.49, 931985, $1560.5, $1570, $1546.1
07/21/2020, $1558.42, 1218645, $1586.99, $1586.99, $1554.28
07/20/2020, $1565.72, 1557252, $1515.26, $1570.29, $1503.6
07/17/2020, $1515.55, 1457010, $1521.62, $1523.44, $1498.42
07/16/2020, $1518, 1519345, $1500, $1518.69, $1486.31
07/15/2020, $1513.64, 1610684, $1523.13, $1535.33, $1498
07/14/2020, $1520.58, 1585016, $1490.31, $1522.95, $1483.5
07/13/2020, $1511.34, 1846424, $1550, $1577.1316, $1505.2427
07/10/2020, $1541.74, 1856704, $1506.15, $1543.83, $1496.54
07/09/2020, $1510.99, 1423322, $1506.45, $1522.72, $1488.085
07/08/2020, $1496, 1249658, $1494.32, $1505.8799, $1485.63
07/07/2020, $1485.18, 1458172, $1490, $1516.8, $1483.55
07/06/2020, $1495.7, 1563997, $1480.06, $1506.59, $1472.86
07/02/2020, $1464.7, 1859480, $1446.94, $1482.95, $1446.42
07/01/2020, $1438.04, 1775167, $1411.1, $1443, $1409.82
06/30/2020, $1413.61, 2042381, $1390.44, $1418.65, $1383.96
